iter	Passed	Remaining
410	3532	5062
411	3539	5051
412	3546	5040
413	3552	5029
414	3560	5019
415	3567	5008
416	3574	4997
417	3581	4986
418	3588	4975
419	3596	4967
420	3604	4956
421	3611	4946
422	3618	4936
423	3625	4925
424	3632	4914
425	3639	4903
426	3646	4893
427	3653	4882
428	3659	4870
429	3667	4862
430	3675	4852
431	3682	4841
432	3689	4830
433	3695	4819
434	3702	4809
435	3709	4798
436	3717	4789
437	3725	4779
438	3733	4770
439	3740	4761
440	3747	4750
441	3754	4739
442	3761	4729
443	3768	4719
444	3775	4708
445	3781	4697
446	3788	4687
447	3797	4678
448	3803	4667
449	3810	4656
450	3817	4646
451	3824	4636
452	3831	4626
453	3839	4616
454	3845	4606
455	3852	4595
456	3859	4585
457	3866	4575
458	3874	4566
459	3882	4558
460	3891	4549
461	3897	4538
462	3904	4529
463	3912	4519
464	3920	4511
465	3928	4501
466	3935	4491
467	3942	4481
468	3949	4471
469	3956	4461
470	3963	4451
471	3970	4441
472	3977	4431
473	3984	4422
474	3993	4414
475	4001	4404
476	4008	4395
477	4015	4385
478	4022	4375
479	4029	4365
480	4036	4355
481	4043	4345
482	4050	4335
483	4057	4326
484	4065	4317
485	4073	4308
486	4081	4298
487	4087	4288
488	4094	4278
489	4102	4269
490	4108	4258
491	4115	4249
492	4122	4239
493	4130	4230
494	4137	4221
495	4145	4211
496	4152	4202
497	4159	4193
498	4166	4183
499	4174	4174
500	4181	4164
501	4188	4154
502	4195	4144
503	4202	4135
504	4209	4126
505	4216	4116
506	4223	4107
507	4230	4096
508	4237	4087
509	4243	4076
510	4249	4066
511	4257	4058
512	4264	4048
513	4272	4039
514	4279	4030
515	4286	4020
516	4293	4010
517	4301	4002
518	4309	3993
519	4319	3986
520	4326	3977
521	4333	3968
522	4340	3958
523	4346	3948
524	4354	3939
525	4361	3930
526	4368	3921
527	4376	3911
528	4383	3903
529	4392	3894
530	4400	3886
531	4407	3877
532	4415	3868
533	4422	3859
534	4430	3850
535	4437	3841
536	4445	3832
537	4453	3823
538	4459	3814
539	4466	3805
540	4474	3795
541	4481	3786
542	4487	3776
543	4495	3768
544	4502	3758
545	4508	3749
546	4515	3739
547	4522	3730
548	4530	3721
549	4537	3712
550	4544	3703
551	4551	3694
552	4558	3684
553	4565	3675
554	4572	3665
555	4579	3656
556	4585	3647
557	4592	3637
558	4599	3628
559	4607	3620
560	4614	3610
561	4621	3601
562	4628	3592
563	4636	3584
564	4643	3574
565	4650	3565
566	4657	3556
567	4664	3547
568	4671	3538
569	4677	3528
570	4684	3519
571	4691	3510
572	4699	3502
573	4705	3492
574	4713	3484
575	4720	3475
576	4727	3465
577	4733	3456
578	4741	3447
579	4749	3438
580	4755	3429
581	4762	3420
582	4769	3411
583	4778	3403
584	4785	3395
585	4795	3387
586	4803	3379
587	4811	3371
588	4819	3362
589	4828	3355
590	4836	3346
591	4844	3339
592	4853	3331
593	4864	3324
594	4872	3316
595	4881	3308
596	4891	3301
597	4899	3293
598	4907	3285
599	4915	3277
600	4924	3269
601	4932	3261
602	4940	3252
603	4948	3244
604	4956	3236
605	4966	3229
606	4974	3220
607	4983	3212
608	4992	3205
609	5000	3197
610	5008	3188
611	5016	3180
612	5024	3171
613	5031	3162
614	5038	3154
615	5044	3144
616	5052	3136
617	5060	3128
618	5068	3119
619	5075	3110
620	5082	3101
621	5090	3093
622	5098	3085
623	5104	3076
624	5112	3067
625	5118	3058
626	5124	3048
627	5132	3040
628	5139	3031
629	5146	3022
630	5152	3013
631	5159	3004
632	5165	2995
633	5172	2985
634	5181	2978
635	5187	2968
636	5193	2959
637	5200	2950
638	5207	2941
639	5213	2932
640	5220	2924
641	5227	2915
642	5234	2906
643	5241	2897
644	5247	2888
645	5254	2879
646	5261	2870
647	5268	2861
648	5275	2852
649	5281	2844
650	5289	2835
651	5297	2827
652	5303	2818
653	5309	2809
654	5317	2800
655	5323	2791
656	5330	2782
657	5336	2773
658	5343	2764
659	5350	2756
660	5356	2747
661	5363	2738
662	5370	2729
663	5377	2721
664	5384	2712
665	5390	2703
666	5397	2694
667	5404	2686
668	5410	2677
669	5417	2668
670	5425	2660
671	5431	2651
672	5438	2642
673	5444	2633
674	5451	2624
675	5458	2616
676	5465	2607
677	5472	2599
678	5479	2590
679	5486	2581
680	5493	2573
681	5499	2564
682	5506	2555
683	5514	2547
684	5521	2539
685	5529	2530
686	5536	2522
687	5541	2513
688	5548	2504
